"Timestamp","Rank the bachelors [Alex]","Rank the bachelors [Elliott]","Rank the bachelors [Harvey]","Rank the bachelors [Sam]","Rank the bachelors [Sebastian]","Rank the bachelors [Shane]","Rank the bachelorettes [Abigail]","Rank the bachelorettes [Emily]","Rank the bachelorettes [Haley]","Rank the bachelorettes [Leah]","Rank the bachelorettes [Maru]","Rank the bachelorettes [Penny]","#1 Overall","#2 Overall","#3 Overall","How do you identify as?","What is your sexual orientation?","How old are you?",""
"2018/07/21 6:54:21 pm CET","#5","#1","#2","#6","#4","#3","#1","#2","#6","#3","#4","#5","","","","Female","Heterosexual","30-39",""
"2018/07/21 6:54:29 pm CET","#2","#4","#3","#5","#6","#1","#2","#1","#3","#5","#6","#4","","","","Female","Bisexual","19-29",""
"2018/07/21 6:54:50 pm CET","#2","#3","#1","#6","#4","#5","#3","#4","#6","#1","#5","#2","","","","Male","Asexual","14 or under",""
"2018/07/21 6:55:26 pm CET","#1","#6","#5","#4","#2","#3","#1","#5","#3","#2","#6","#4","","","","Male","Homosexual","19-29",""
"2018/07/21 6:55:34 pm CET","#5","#6","#2","#3","#4","#1","#5","#2","#6","#3","#4","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 6:55:35 pm CET","#4","#3","#1","#5","#2","#6","#3","#4","#6","#2","#5","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 6:56:06 pm CET","#3","#5","#4","#2","#6","#1","#4","#3","#6","#2","#5","#1","","","","Male","Homosexual","19-29",""
"2018/07/21 6:56:11 pm CET","#6","#4","#5","#1","#2","#3","#2","#1","#6","#3","#5","#4","","","","Female","Heterosexual","30-39",""
"2018/07/21 6:56:41 pm CET","#3","#6","#2","#1","#4","#5","#1","#2","#6","#5","#4","#3","","","","Male","Heterosexual","30-39",""
"2018/07/21 6:58:26 pm CET","#6","#1","#5","#3","#2","#4","#3","#4","#6","#1","#5","#2","","","","Female","Bisexual","19-29",""
"2018/07/21 6:58:51 pm CET","#5","#1","#6","#3","#4","#2","#2","#5","#6","#1","#3","#4","","","","Female","Bisexual","19-29",""
"2018/07/21 6:59:56 pm CET","#6","#4","#2","#5","#1","#3","#1","#6","#5","#2","#3","#4","","","","Female","Asexual","14 or under",""
"2018/07/21 7:00:10 pm CET","#5","#6","#1","#3","#2","#4","#1","#5","#6","#4","#3","#2","","","","Female","Asexual","19-29",""
"2018/07/21 7:00:10 pm CET","#5","#4","#2","#6","#3","#1","#6","#2","#1","#3","#4","#5","","","","Prefer not to say","Bisexual","19-29",""
"2018/07/21 7:01:31 pm CET","#6","#5","#4","#2","#3","#1","#2","#6","#3","#4","#5","#1","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:02:02 pm CET","#1","#6","#5","#2","#3","#4","#5","#6","#3","#1","#2","#4","","","","Male","Homosexual","19-29",""
"2018/07/21 7:02:42 pm CET","#5","#1","#3","#4","#6","#2","#2","#3","#4","#1","#6","#5","","","","Male","Bisexual","19-29",""
"2018/07/21 7:02:51 pm CET","#2","#3","#1","#5","#4","#6","#5","#1","#4","#2","#6","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:03:04 pm CET","#3","#1","#5","#6","#2","#4","#4","#3","#6","#5","#2","#1","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:03:06 pm CET","#6","#2","#1","#4","#3","#5","#2","#4","#6","#1","#5","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:03:26 pm CET","#5","#2","#4","#6","#1","#3","#1","#2","#5","#3","#6","#4","","","","Female","Homosexual","19-29",""
"2018/07/21 7:04:49 pm CET","#4","#5","#3","#2","#6","#1","#4","#3","#6","#1","#5","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:04:51 pm CET","#4","#3","#1","#2","#5","#6","#4","#6","#5","#1","#2","#3","","","","Male","Heterosexual","19-29",""
"2018/07/21 7:05:06 pm CET","#3","#1","#2","#6","#5","#4","#4","#2","#5","#1","#6","#3","","","","Male","Heterosexual","15-18",""
"2018/07/21 7:05:16 pm CET","#5","#2","#4","#6","#3","#1","#1","#2","#6","#4","#3","#5","","","","Female","Heterosexual","14 or under",""
"2018/07/21 7:05:39 pm CET","#2","#4","#1","#5","#3","#6","#4","#5","#2","#3","#6","#1","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:05:50 pm CET","#1","#6","#2","#4","#5","#3","#3","#6","#5","#1","#4","#2","","","","Female","Heterosexual","19-29",""
"2018/07/21 7:05:58 pm CET","#6","#4","#5","#1","#3","#2","#5","#4","#6","#1","#3","#2","","","","Male","Heterosexual","19-29",""
